,uid,timestamp,clock,type,item,quantity,status,init_time,acked_time,received_time
0,4fe9071f-b1c1-44a9-b45c-7934ead53566,2026-04-22 03:28:09.255220,{},ELECT,,,DONE,1776842889.2469473,,
1,03f09a82-1534-45a9-864b-9afd26498521,2026-04-22 03:28:24.288130,"{0: 1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0}",INIT,FISH,5,DONE,1776842893.280124,1776842904.2893202,1776842904.4247236
2,2918ea83-9be4-4251-b85e-414036c2ca39,2026-04-22 03:28:24.296959,"{0: 2, 1: 1, 2: 2, 3: 1, 4: 2, 5: 0}",INIT,BOAR,1,DONE,1776842899.381073,1776842904.2981434,1776842904.4435422
3,302252b8-4ee4-48ef-a743-788607e93c7f,2026-04-22 03:28:24.300492,"{0: 2, 1: 1, 2: 3, 3: 1, 4: 3, 5: 0}",RESTOCK,SALT,0.0,DONE,1776842901.3400567,1776842904.3015163,
4,34f971de-297d-4bc5-8338-94e10fd0811b,2026-04-22 03:28:24.453497,"{0: 2, 1: 1, 2: 4, 3: 1, 4: 3, 5: 0}",INIT,FISH,8,DONE,1776842904.4040573,1776842904.4546645,1776842904.5670047
5,3deec4a2-da42-405c-8b8f-cfa6a0dae80a,2026-04-22 03:28:29.433326,"{0: 3, 1: 2, 2: 5, 3: 2, 4: 4, 5: 0}",INIT,SALT,1,DONE,1776842909.4226904,1776842909.4343255,1776842909.5528822
6,bf3f436b-220b-48e3-9a9b-8e55f6f884ee,2026-04-22 03:28:30.529576,"{0: 3, 1: 2, 2: 6, 3: 2, 4: 4, 5: 0}",INIT,FISH,4,DONE,1776842910.5205023,1776842910.5310493,1776842910.6549501
7,74b232a6-0357-43c3-8ca2-9141b5c072d2,2026-04-22 03:28:31.414244,"{0: 3, 1: 2, 2: 7, 3: 2, 4: 5, 5: 0}",RESTOCK,FISH,14.0,DONE,1776842911.404711,1776842911.4142442,
8,0e00e8e1-ecbf-40d9-8e3f-5975cddb9f08,2026-04-22 03:28:37.578448,"{0: 4, 1: 2, 2: 8, 3: 2, 4: 5, 5: 0}",INIT,SALT,2,DONE,1776842917.57209,1776842917.5799558,1776842917.7048979
9,a4820f72-3920-4220-b8f8-df45cab76af8,2026-04-22 03:28:41.521410,"{0: 5, 1: 3, 2: 9, 3: 3, 4: 6, 5: 0}",RESTOCK,SALT,0.0,DONE,1776842921.5111673,1776842921.52141,
10,1763565b-0a9a-4b94-9cf7-feac2bf5d73a,2026-04-22 03:28:41.642755,"{0: 5, 1: 3, 2: 10, 3: 3, 4: 6, 5: 0}",INIT,FISH,7,DONE,1776842921.6335332,1776842921.6439064,1776842921.7484124
11,6ce9696a-3f71-46d5-b98c-ce4dc8fb8e08,2026-04-22 03:28:43.695601,"{0: 6, 1: 3, 2: 11, 3: 3, 4: 6, 5: 0}",INIT,BOAR,5,DONE,1776842923.6849647,1776842923.696682,1776842923.808108
12,db29787a-c729-46cf-b518-8900131e7b1a,2026-04-22 03:28:47.733643,"{0: 7, 1: 3, 2: 12, 3: 3, 4: 8, 5: 0}",INIT,BOAR,3,DONE,1776842927.7228746,1776842927.7346761,1776842927.8405957
13,710a2e11-35ab-4935-8846-f7604e942050,2026-04-22 03:28:51.627590,"{0: 7, 1: 4, 2: 13, 3: 4, 4: 9, 5: 0}",RESTOCK,SALT,20,ACKED,1776842931.618003,1776842931.6288662,
14,c47303ba-73a1-43a0-af02-b0459207ee74,2026-04-22 03:28:52.832003,"{0: 7, 1: 4, 2: 14, 3: 4, 4: 9, 5: 0}",INIT,BOAR,7,DONE,1776842932.8223157,1776842932.83326,1776842932.941639
15,b5f7f6f8-9622-4341-b938-9b6d380ab26e,2026-04-22 03:28:59.888652,"{0: 8, 1: 5, 2: 15, 3: 5, 4: 10, 5: 0}",INIT,FISH,5,DONE,1776842939.8806033,1776842939.8886523,1776842940.0047069
16,a5c0a354-9e91-4f3f-903c-0ba3cc97e6a9,2026-04-22 03:29:01.639783,"{0: 8, 1: 5, 2: 16, 3: 5, 4: 11, 5: 0}",RESTOCK,SALT,20,ACKED,1776842941.634267,1776842941.6408105,
